investigation_id,test_id,investigation_number,opened_date,severity,root_cause,status,eqms_record_id,closed_date
3822,27168,INV-0003822,2024-11-15,Major,Operator,In Progress,EQMS-0794255,
3823,46231,INV-0003823,2024-04-13,Critical,Operator,Closed,EQMS-3317367,2024-05-29
3824,90378,INV-0003824,2024-07-03,Major,Operator,Closed,EQMS-3344494,2024-08-04
3825,115352,INV-0003825,2024-03-26,Minor,Analytical Method,Closed,EQMS-3314109,2024-04-14
3826,56078,INV-0003826,2024-04-24,Minor,Equipment,In Progress,EQMS-6086448,
3827,21585,INV-0003827,2024-10-05,Major,Unknown,Closed,EQMS-1191293,2024-11-17
3828,118151,INV-0003828,2025-04-27,Major,Sample Handling,Open,EQMS-1417979,
3829,68695,INV-0003829,2024-08-15,Minor,Sample Handling,Closed,EQMS-0570307,2024-09-27
3830,80858,INV-0003830,2024-06-11,Major,Specification,Closed,EQMS-4856626,2024-07-14
3831,38996,INV-0003831,2025-06-11,Major,Equipment,In Progress,EQMS-0330254,
3832,21568,INV-0003832,2025-07-30,Minor,Equipment,Open,EQMS-5038447,
3833,93776,INV-0003833,2024-08-15,Major,Supplier,Closed,EQMS-5347615,2024-08-24
3834,74985,INV-0003834,2024-07-18,Major,Specification,Open,EQMS-0288896,
3835,12857,INV-0003835,2024-04-10,Major,Operator,Closed,EQMS-1040042,2024-04-24
3836,105219,INV-0003836,2025-02-24,Major,Supplier,Closed,EQMS-2139021,2025-03-29
3837,119092,INV-0003837,2026-02-10,Minor,Unknown,Closed,EQMS-5728934,2026-03-18
3838,119507,INV-0003838,2025-01-05,Minor,Specification,Closed,EQMS-2219263,2025-01-30
3839,58079,INV-0003839,2025-12-18,Major,Unknown,Closed,EQMS-5210987,2026-02-02
3840,111199,INV-0003840,2024-06-15,Minor,Unknown,Closed,EQMS-1174634,2024-07-30
3841,83820,INV-0003841,2024-07-31,Major,Equipment,Closed,EQMS-4883048,2024-10-12
3842,67372,INV-0003842,2025-03-08,Major,Specification,Closed,EQMS-2433399,2025-06-03
3843,107991,INV-0003843,2024-06-26,Major,Analytical Method,Closed,EQMS-1192467,2024-07-02
3844,32858,INV-0003844,2025-11-07,Minor,Sample Handling,Closed,EQMS-2512853,2025-11-17
3845,99737,INV-0003845,2024-07-08,Minor,Supplier,In Progress,EQMS-9440270,
3846,92574,INV-0003846,2025-06-23,Minor,Analytical Method,Closed,EQMS-9439577,2025-09-03
3847,72100,INV-0003847,2024-04-19,Minor,Analytical Method,Open,EQMS-7525385,
3848,106333,INV-0003848,2025-03-17,Minor,Equipment,Closed,EQMS-7566491,2025-04-20
3849,63457,INV-0003849,2024-05-14,Major,Operator,Open,EQMS-8512926,
3850,30275,INV-0003850,2025-05-04,Major,Operator,Closed,EQMS-9183047,2025-06-16
3851,19468,INV-0003851,2026-01-20,Major,Supplier,Open,EQMS-4489422,
3852,111366,INV-0003852,2025-04-16,Major,Sample Handling,In Progress,EQMS-0922790,
3853,106295,INV-0003853,2024-07-02,Minor,Operator,Open,EQMS-5551307,
3854,105364,INV-0003854,2024-10-24,Major,Operator,Closed,EQMS-2897198,2024-12-17
3855,55032,INV-0003855,2024-04-05,Minor,Analytical Method,Closed,EQMS-6049397,2024-05-23
3856,86716,INV-0003856,2024-12-22,Minor,Equipment,Open,EQMS-1454822,
3857,71487,INV-0003857,2025-04-28,Minor,Specification,In Progress,EQMS-8771594,
3858,57373,INV-0003858,2024-10-17,Major,Specification,Open,EQMS-5502780,
3859,1569,INV-0003859,2024-03-28,Minor,Unknown,In Progress,EQMS-5416527,
3860,44073,INV-0003860,2024-02-04,Major,Equipment,In Progress,EQMS-7102465,
3861,60484,INV-0003861,2024-06-16,Major,Specification,Closed,EQMS-5196207,2024-08-08
3862,49622,INV-0003862,2024-07-15,Critical,Unknown,Closed,EQMS-6235683,2024-07-20
3863,52197,INV-0003863,2025-08-26,Minor,Unknown,In Progress,EQMS-1997069,
3864,10408,INV-0003864,2025-08-17,Major,Unknown,Open,EQMS-8831512,
3865,90560,INV-0003865,2025-10-02,Minor,Unknown,Open,EQMS-7223003,
3866,97345,INV-0003866,2025-07-17,Major,Unknown,Closed,EQMS-3439821,2025-09-17
3867,79650,INV-0003867,2026-03-09,Major,Specification,Closed,EQMS-9402985,2026-04-26
3868,78056,INV-0003868,2026-03-06,Minor,Analytical Method,In Progress,EQMS-3652347,
3869,9057,INV-0003869,2025-10-29,Major,Equipment,Closed,EQMS-1353093,2025-12-06
3870,31937,INV-0003870,2025-07-27,Major,Supplier,Closed,EQMS-5144710,2025-10-10
3871,11627,INV-0003871,2024-08-07,Major,Analytical Method,Closed,EQMS-7793735,2024-10-20
3872,61585,INV-0003872,2024-03-19,Minor,Operator,Open,EQMS-7108762,
3873,83614,INV-0003873,2025-09-22,Major,Analytical Method,Closed,EQMS-4568007,2025-10-25
3874,62848,INV-0003874,2025-09-17,Major,Supplier,Closed,EQMS-6782742,2025-11-08
3875,110210,INV-0003875,2024-09-10,Minor,Supplier,Open,EQMS-1281953,
3876,23430,INV-0003876,2025-01-25,Minor,Operator,Closed,EQMS-1498734,2025-04-18
3877,86613,INV-0003877,2024-01-06,Major,Sample Handling,Closed,EQMS-5866488,2024-01-31
3878,115385,INV-0003878,2025-04-05,Minor,Specification,Open,EQMS-3957265,
3879,115364,INV-0003879,2024-11-26,Minor,Sample Handling,Open,EQMS-2707586,
3880,10213,INV-0003880,2025-08-21,Major,Unknown,In Progress,EQMS-0405629,
3881,29287,INV-0003881,2024-02-10,Major,Equipment,Closed,EQMS-8902617,2024-05-04
3882,93196,INV-0003882,2024-11-05,Major,Equipment,Closed,EQMS-4290099,2024-12-16
3883,68294,INV-0003883,2025-02-26,Minor,Analytical Method,Closed,EQMS-5028131,2025-04-21
3884,26555,INV-0003884,2026-03-14,Critical,Equipment,Closed,EQMS-9843953,2026-03-20
3885,97190,INV-0003885,2024-01-27,Major,Sample Handling,Closed,EQMS-1054323,2024-03-01
3886,15351,INV-0003886,2026-01-16,Major,Sample Handling,Closed,EQMS-5127248,2026-04-11
3887,99478,INV-0003887,2025-04-26,Minor,Sample Handling,Closed,EQMS-2369492,2025-07-19
3888,6090,INV-0003888,2025-09-23,Minor,Sample Handling,Closed,EQMS-4734351,2025-11-03
3889,53952,INV-0003889,2025-06-04,Major,Operator,Closed,EQMS-1707394,2025-07-20
3890,99034,INV-0003890,2024-04-10,Critical,Operator,Closed,EQMS-3283070,2024-06-27
3891,24968,INV-0003891,2024-08-08,Major,Supplier,In Progress,EQMS-8302423,
3892,57298,INV-0003892,2026-01-07,Minor,Supplier,Closed,EQMS-5812744,2026-01-23
3893,9745,INV-0003893,2025-05-31,Minor,Equipment,Closed,EQMS-6127890,2025-08-06
3894,6803,INV-0003894,2026-03-13,Minor,Equipment,In Progress,EQMS-4421462,
3895,79453,INV-0003895,2025-08-15,Minor,Analytical Method,Closed,EQMS-4706812,2025-09-10
3896,65743,INV-0003896,2024-08-07,Minor,Supplier,Closed,EQMS-9859648,2024-09-18
3897,59097,INV-0003897,2025-08-13,Minor,Analytical Method,Closed,EQMS-9712610,2025-10-06
3898,84672,INV-0003898,2026-03-13,Minor,Sample Handling,Open,EQMS-6236383,
3899,1984,INV-0003899,2024-02-04,Minor,Analytical Method,Closed,EQMS-7923317,2024-04-30
3900,94795,INV-0003900,2024-07-31,Major,Analytical Method,Closed,EQMS-8851846,2024-10-22
3901,52298,INV-0003901,2025-04-23,Critical,Analytical Method,Open,EQMS-0905403,
3902,2168,INV-0003902,2025-10-19,Major,Supplier,Closed,EQMS-2246799,2025-11-26
3903,106261,INV-0003903,2025-05-04,Minor,Specification,Closed,EQMS-3167596,2025-06-16
3904,16295,INV-0003904,2024-01-26,Critical,Specification,Open,EQMS-4304270,
3905,111857,INV-0003905,2025-06-19,Major,Specification,In Progress,EQMS-0307556,
3906,99943,INV-0003906,2025-05-08,Minor,Unknown,Closed,EQMS-2085767,2025-05-26
3907,22593,INV-0003907,2025-07-24,Minor,Analytical Method,Closed,EQMS-3780085,2025-09-11
3908,60042,INV-0003908,2025-01-05,Minor,Unknown,Closed,EQMS-8137692,2025-02-08
3909,10995,INV-0003909,2024-11-19,Minor,Specification,Closed,EQMS-4384876,2024-12-27
3910,33056,INV-0003910,2025-02-18,Minor,Unknown,Closed,EQMS-3435648,2025-03-03
3911,78282,INV-0003911,2024-07-02,Major,Analytical Method,Closed,EQMS-5701810,2024-08-01
3912,23730,INV-0003912,2024-01-08,Major,Analytical Method,Closed,EQMS-1146538,2024-02-20
3913,107990,INV-0003913,2025-11-11,Minor,Analytical Method,In Progress,EQMS-0402036,
3914,81698,INV-0003914,2024-10-20,Major,Specification,Closed,EQMS-4906329,2024-11-05
3915,95501,INV-0003915,2025-10-04,Major,Supplier,Closed,EQMS-2150692,2025-10-20
3916,110581,INV-0003916,2024-10-30,Major,Equipment,Closed,EQMS-7449029,2025-01-18
3917,1413,INV-0003917,2025-11-12,Major,Supplier,Closed,EQMS-0151172,2025-12-07
3918,102313,INV-0003918,2025-10-22,Major,Unknown,In Progress,EQMS-9106303,
3919,56394,INV-0003919,2024-08-08,Minor,Unknown,Closed,EQMS-8719104,2024-09-17
3920,72182,INV-0003920,2025-10-02,Minor,Analytical Method,Closed,EQMS-4895742,2025-11-01
3921,117085,INV-0003921,2025-08-25,Minor,Operator,Closed,EQMS-1143371,2025-11-19
3922,95141,INV-0003922,2025-09-27,Major,Operator,Closed,EQMS-8383534,2025-12-13
3923,94513,INV-0003923,2024-08-11,Critical,Analytical Method,Closed,EQMS-4176481,2024-09-17
3924,71046,INV-0003924,2024-07-03,Minor,Unknown,In Progress,EQMS-2855992,
3925,33318,INV-0003925,2025-06-22,Major,Specification,Closed,EQMS-7699703,2025-09-01
3926,94429,INV-0003926,2025-03-04,Minor,Unknown,In Progress,EQMS-0441783,
3927,109174,INV-0003927,2025-06-07,Major,Supplier,Closed,EQMS-6802919,2025-07-27
3928,119283,INV-0003928,2026-02-23,Major,Sample Handling,Closed,EQMS-2081330,2026-03-26
3929,116790,INV-0003929,2025-11-01,Minor,Supplier,Closed,EQMS-1673216,2026-01-29
3930,84855,INV-0003930,2025-03-24,Minor,Analytical Method,In Progress,EQMS-1898160,
3931,114315,INV-0003931,2024-02-14,Major,Supplier,Closed,EQMS-1565846,2024-04-28
3932,112443,INV-0003932,2024-12-23,Major,Unknown,Open,EQMS-2352918,
3933,4897,INV-0003933,2024-08-30,Critical,Sample Handling,Closed,EQMS-4676530,2024-11-17
3934,62258,INV-0003934,2024-06-09,Major,Equipment,Closed,EQMS-0992007,2024-08-15
3935,10275,INV-0003935,2025-10-08,Major,Equipment,Closed,EQMS-3797200,2025-11-18
3936,109140,INV-0003936,2024-02-23,Major,Operator,Closed,EQMS-7189821,2024-03-10
3937,83577,INV-0003937,2024-02-26,Major,Operator,Closed,EQMS-8938817,2024-04-27
3938,41665,INV-0003938,2024-05-14,Minor,Equipment,Closed,EQMS-4016078,2024-07-18
3939,42625,INV-0003939,2024-10-27,Major,Operator,In Progress,EQMS-2790047,
3940,61762,INV-0003940,2024-03-16,Critical,Sample Handling,In Progress,EQMS-6285384,
3941,44274,INV-0003941,2025-01-13,Major,Specification,In Progress,EQMS-2578106,
3942,82015,INV-0003942,2025-01-14,Minor,Sample Handling,Closed,EQMS-8460291,2025-02-12
3943,45715,INV-0003943,2024-05-15,Minor,Operator,Closed,EQMS-6074581,2024-07-01
3944,70916,INV-0003944,2025-12-29,Minor,Sample Handling,Closed,EQMS-8962538,2026-03-03
3945,29537,INV-0003945,2025-06-17,Minor,Operator,Open,EQMS-3810163,
3946,106651,INV-0003946,2025-12-04,Minor,Analytical Method,Closed,EQMS-2347811,2025-12-21
3947,10992,INV-0003947,2024-01-29,Major,Operator,In Progress,EQMS-2878840,
3948,13737,INV-0003948,2025-10-12,Major,Unknown,Open,EQMS-3254924,
3949,6715,INV-0003949,2024-06-19,Major,Operator,In Progress,EQMS-2499465,
3950,94906,INV-0003950,2024-03-28,Minor,Analytical Method,In Progress,EQMS-4771343,
3951,97870,INV-0003951,2024-10-02,Minor,Equipment,Open,EQMS-4927340,
3952,85543,INV-0003952,2026-02-18,Major,Unknown,In Progress,EQMS-5632224,
3953,79220,INV-0003953,2024-04-14,Minor,Equipment,Closed,EQMS-9998343,2024-06-17
3954,18379,INV-0003954,2025-09-06,Minor,Sample Handling,In Progress,EQMS-3243386,
3955,55455,INV-0003955,2025-08-29,Major,Sample Handling,In Progress,EQMS-3136799,
3956,83934,INV-0003956,2025-11-20,Minor,Equipment,Closed,EQMS-3126630,2025-12-25
3957,19222,INV-0003957,2024-12-03,Major,Sample Handling,Closed,EQMS-0804045,2024-12-21
3958,104326,INV-0003958,2024-08-20,Major,Analytical Method,Closed,EQMS-5121014,2024-09-09
3959,25738,INV-0003959,2026-02-12,Minor,Unknown,Closed,EQMS-2170201,2026-04-08
3960,45811,INV-0003960,2024-09-08,Minor,Operator,Closed,EQMS-5385553,2024-11-01
3961,104391,INV-0003961,2024-09-18,Minor,Unknown,Closed,EQMS-8671876,2024-11-14
3962,18148,INV-0003962,2024-12-19,Minor,Equipment,Closed,EQMS-6489908,2025-02-09
3963,35902,INV-0003963,2025-09-23,Major,Sample Handling,In Progress,EQMS-8326401,
3964,87207,INV-0003964,2025-04-15,Minor,Sample Handling,Closed,EQMS-4696965,2025-06-17
3965,99740,INV-0003965,2025-12-14,Minor,Equipment,In Progress,EQMS-8310752,
3966,75021,INV-0003966,2024-03-08,Minor,Supplier,Closed,EQMS-6849933,2024-05-24
3967,6112,INV-0003967,2024-12-19,Minor,Analytical Method,Closed,EQMS-0284537,2025-02-10
3968,5250,INV-0003968,2024-02-12,Minor,Equipment,Closed,EQMS-6989189,2024-04-14
3969,105957,INV-0003969,2025-06-25,Minor,Unknown,Closed,EQMS-4579409,2025-09-03
3970,81259,INV-0003970,2024-10-01,Major,Sample Handling,Closed,EQMS-6322264,2024-10-26
3971,100863,INV-0003971,2025-08-16,Minor,Analytical Method,Closed,EQMS-1968274,2025-10-20
3972,83408,INV-0003972,2025-02-12,Major,Supplier,In Progress,EQMS-1830515,
3973,18577,INV-0003973,2026-01-20,Major,Specification,Closed,EQMS-9115319,2026-04-01
3974,15675,INV-0003974,2024-03-30,Minor,Analytical Method,Closed,EQMS-6452154,2024-04-06
3975,20495,INV-0003975,2024-07-26,Minor,Supplier,Closed,EQMS-7096808,2024-09-26
3976,43334,INV-0003976,2026-01-21,Critical,Analytical Method,Closed,EQMS-7354929,2026-03-20
3977,30235,INV-0003977,2025-02-16,Minor,Analytical Method,In Progress,EQMS-8438212,
3978,100918,INV-0003978,2025-04-28,Minor,Specification,In Progress,EQMS-2139135,
3979,99866,INV-0003979,2025-12-07,Minor,Supplier,Open,EQMS-9896376,
3980,76209,INV-0003980,2024-09-17,Minor,Unknown,Open,EQMS-6803444,
3981,81238,INV-0003981,2024-01-03,Major,Supplier,In Progress,EQMS-2923161,
3982,72372,INV-0003982,2025-05-15,Minor,Equipment,Open,EQMS-7859924,
3983,36868,INV-0003983,2025-08-18,Minor,Operator,Closed,EQMS-1926020,2025-09-20
3984,77867,INV-0003984,2025-02-22,Major,Analytical Method,Closed,EQMS-1843429,2025-03-29
3985,18479,INV-0003985,2024-07-26,Major,Unknown,Closed,EQMS-7523678,2024-10-23
3986,1963,INV-0003986,2025-03-17,Minor,Sample Handling,Open,EQMS-1516165,
3987,6788,INV-0003987,2025-10-04,Minor,Equipment,Closed,EQMS-2962842,2025-12-11
3988,26699,INV-0003988,2025-03-13,Major,Operator,In Progress,EQMS-7881739,
3989,42122,INV-0003989,2025-01-25,Major,Unknown,Closed,EQMS-0725221,2025-02-21
3990,32363,INV-0003990,2024-02-09,Major,Supplier,Closed,EQMS-0907975,2024-02-14
3991,78266,INV-0003991,2025-05-06,Major,Sample Handling,Closed,EQMS-7094508,2025-06-13
3992,30189,INV-0003992,2025-06-20,Minor,Unknown,Closed,EQMS-4021576,2025-09-04
3993,114820,INV-0003993,2025-06-06,Minor,Equipment,Closed,EQMS-2697025,2025-08-26
3994,51679,INV-0003994,2025-12-31,Minor,Supplier,Closed,EQMS-5774784,2026-01-08
3995,112836,INV-0003995,2025-10-10,Major,Unknown,Closed,EQMS-4342799,2025-11-30
3996,104435,INV-0003996,2025-07-14,Major,Operator,Open,EQMS-9593412,
3997,67364,INV-0003997,2024-01-26,Minor,Sample Handling,Closed,EQMS-6322638,2024-03-22
3998,48275,INV-0003998,2024-01-14,Minor,Analytical Method,Closed,EQMS-2803311,2024-02-16
3999,61541,INV-0003999,2026-02-28,Critical,Specification,Open,EQMS-6254133,
4000,32439,INV-0004000,2024-09-08,Critical,Sample Handling,Open,EQMS-9158922,
4001,29422,INV-0004001,2026-03-14,Major,Sample Handling,Closed,EQMS-6048535,2026-05-08
4002,25634,INV-0004002,2024-07-08,Major,Analytical Method,Closed,EQMS-0151058,2024-08-18
4003,86014,INV-0004003,2024-12-28,Minor,Supplier,Closed,EQMS-7409018,2025-01-11
4004,105139,INV-0004004,2024-11-16,Major,Analytical Method,Closed,EQMS-0210462,2024-12-04
4005,67170,INV-0004005,2025-11-18,Minor,Operator,Closed,EQMS-2143880,2025-12-04
4006,66019,INV-0004006,2025-01-24,Major,Specification,Closed,EQMS-6483615,2025-04-21
4007,75410,INV-0004007,2026-02-01,Major,Unknown,Closed,EQMS-6077849,2026-04-08
4008,33839,INV-0004008,2025-07-11,Major,Specification,In Progress,EQMS-9997689,
4009,106704,INV-0004009,2025-08-11,Major,Equipment,Closed,EQMS-6686259,2025-09-25
4010,94782,INV-0004010,2024-09-03,Minor,Supplier,Closed,EQMS-5582772,2024-11-28
4011,70759,INV-0004011,2025-12-30,Minor,Unknown,Closed,EQMS-7126281,2026-01-30
4012,105554,INV-0004012,2025-08-08,Minor,Operator,Closed,EQMS-8820974,2025-10-03
4013,104299,INV-0004013,2025-02-10,Minor,Sample Handling,Closed,EQMS-9995199,2025-04-04
4014,111012,INV-0004014,2024-08-05,Minor,Specification,Closed,EQMS-5838137,2024-08-18
4015,10353,INV-0004015,2025-01-14,Minor,Unknown,Closed,EQMS-9447339,2025-03-19
4016,78621,INV-0004016,2024-11-16,Major,Supplier,Closed,EQMS-0956401,2025-01-04
4017,84935,INV-0004017,2024-11-25,Minor,Specification,Closed,EQMS-8474202,2025-02-16
4018,14490,INV-0004018,2024-07-07,Major,Operator,Open,EQMS-3677150,
4019,82468,INV-0004019,2024-05-01,Minor,Unknown,Closed,EQMS-0490345,2024-06-13
4020,100054,INV-0004020,2025-02-27,Minor,Sample Handling,Closed,EQMS-9055663,2025-03-10
4021,55321,INV-0004021,2025-01-06,Minor,Analytical Method,Closed,EQMS-7617185,2025-02-10
4022,32937,INV-0004022,2024-10-19,Major,Sample Handling,Open,EQMS-2346771,
4023,53131,INV-0004023,2026-01-26,Minor,Specification,Open,EQMS-6633349,
4024,49348,INV-0004024,2025-08-21,Minor,Operator,In Progress,EQMS-0422887,
4025,31519,INV-0004025,2024-07-01,Minor,Supplier,Closed,EQMS-0534677,2024-07-10
4026,99819,INV-0004026,2025-12-09,Minor,Sample Handling,Closed,EQMS-6082838,2026-01-22
4027,6826,INV-0004027,2024-03-07,Minor,Sample Handling,Open,EQMS-5310468,
4028,24132,INV-0004028,2024-08-10,Major,Specification,Closed,EQMS-2584085,2024-10-09
4029,58153,INV-0004029,2025-08-19,Major,Operator,In Progress,EQMS-7609400,
4030,2332,INV-0004030,2024-05-17,Major,Specification,Closed,EQMS-6448008,2024-06-17
4031,48726,INV-0004031,2025-02-19,Minor,Unknown,Closed,EQMS-1092778,2025-05-06
4032,94060,INV-0004032,2024-09-30,Major,Analytical Method,Closed,EQMS-7256862,2024-12-22
4033,110251,INV-0004033,2024-07-06,Major,Unknown,Closed,EQMS-9507506,2024-09-05
4034,47767,INV-0004034,2024-04-29,Major,Sample Handling,Closed,EQMS-8708569,2024-07-03
4035,38533,INV-0004035,2025-04-06,Minor,Supplier,In Progress,EQMS-7427728,
4036,68777,INV-0004036,2024-09-24,Minor,Specification,Open,EQMS-8819199,
4037,113146,INV-0004037,2024-02-19,Minor,Equipment,Closed,EQMS-1893116,2024-03-18
4038,8405,INV-0004038,2025-12-30,Minor,Equipment,Closed,EQMS-0883554,2026-01-31
4039,39411,INV-0004039,2025-03-07,Minor,Equipment,Closed,EQMS-4952397,2025-04-11
4040,37332,INV-0004040,2024-12-10,Major,Supplier,Closed,EQMS-1606691,2025-01-07
4041,102333,INV-0004041,2024-11-22,Major,Equipment,Closed,EQMS-0474502,2024-12-19
4042,75404,INV-0004042,2025-10-23,Minor,Supplier,In Progress,EQMS-7487677,
4043,115103,INV-0004043,2024-04-08,Minor,Specification,Closed,EQMS-7050189,2024-04-19
4044,107482,INV-0004044,2024-03-10,Major,Supplier,In Progress,EQMS-4788043,
4045,72079,INV-0004045,2024-01-29,Minor,Equipment,Closed,EQMS-6589123,2024-02-09
4046,76522,INV-0004046,2025-09-12,Minor,Equipment,Closed,EQMS-2693814,2025-09-29
4047,56606,INV-0004047,2024-03-27,Major,Sample Handling,In Progress,EQMS-9220170,
4048,19137,INV-0004048,2026-01-28,Major,Supplier,In Progress,EQMS-2655842,
4049,75873,INV-0004049,2024-05-18,Major,Sample Handling,Closed,EQMS-2415949,2024-06-18
4050,54638,INV-0004050,2025-09-28,Minor,Unknown,Closed,EQMS-9100341,2025-11-05
4051,51235,INV-0004051,2025-02-10,Minor,Analytical Method,Closed,EQMS-1634820,2025-03-21
4052,40057,INV-0004052,2024-10-16,Minor,Specification,Closed,EQMS-1652572,2025-01-11
4053,22977,INV-0004053,2024-01-31,Critical,Specification,In Progress,EQMS-9659924,
4054,45251,INV-0004054,2024-05-04,Major,Operator,Closed,EQMS-3111116,2024-07-27
4055,39955,INV-0004055,2026-02-17,Minor,Equipment,Closed,EQMS-3313221,2026-03-12
4056,6795,INV-0004056,2025-07-21,Minor,Equipment,Open,EQMS-6248167,
4057,87650,INV-0004057,2025-08-07,Minor,Supplier,Closed,EQMS-0068539,2025-10-22
4058,20578,INV-0004058,2024-02-25,Major,Equipment,Closed,EQMS-7405124,2024-04-17
4059,5273,INV-0004059,2025-03-30,Minor,Specification,Closed,EQMS-4323849,2025-05-21
4060,51199,INV-0004060,2025-01-13,Minor,Unknown,Closed,EQMS-6078764,2025-03-05
4061,3116,INV-0004061,2025-06-05,Major,Supplier,Closed,EQMS-0508563,2025-08-30
4062,7045,INV-0004062,2025-01-14,Minor,Sample Handling,Closed,EQMS-9880842,2025-01-21
4063,82671,INV-0004063,2025-09-21,Minor,Sample Handling,Closed,EQMS-6885307,2025-10-13
4064,77960,INV-0004064,2025-01-18,Major,Unknown,Closed,EQMS-8255992,2025-01-28
4065,101049,INV-0004065,2025-07-14,Minor,Operator,Closed,EQMS-2024063,2025-08-31
4066,39414,INV-0004066,2024-03-15,Major,Sample Handling,Closed,EQMS-4204102,2024-04-07
4067,86511,INV-0004067,2025-09-26,Minor,Specification,In Progress,EQMS-9484391,
4068,110273,INV-0004068,2024-12-16,Major,Analytical Method,Closed,EQMS-0439229,2025-01-31
4069,64103,INV-0004069,2024-12-11,Major,Equipment,Closed,EQMS-9092214,2025-03-07
4070,87954,INV-0004070,2024-11-28,Critical,Equipment,Closed,EQMS-2372323,2024-12-20
4071,7378,INV-0004071,2026-03-26,Minor,Operator,Open,EQMS-5225769,
4072,49249,INV-0004072,2024-01-15,Minor,Unknown,In Progress,EQMS-9559612,
4073,15336,INV-0004073,2026-03-11,Minor,Unknown,Closed,EQMS-6197149,2026-04-15
4074,39578,INV-0004074,2024-06-16,Major,Specification,Closed,EQMS-1813684,2024-07-04
4075,31879,INV-0004075,2024-02-14,Minor,Unknown,Closed,EQMS-6744553,2024-04-26
4076,24557,INV-0004076,2025-10-04,Minor,Equipment,In Progress,EQMS-7573191,
4077,16442,INV-0004077,2025-02-10,Minor,Operator,In Progress,EQMS-7787997,
4078,87137,INV-0004078,2025-07-28,Major,Sample Handling,In Progress,EQMS-6314825,
4079,36565,INV-0004079,2024-08-17,Minor,Analytical Method,Closed,EQMS-4954073,2024-09-01
4080,117061,INV-0004080,2025-04-24,Critical,Specification,Closed,EQMS-2853412,2025-05-22
4081,62524,INV-0004081,2024-02-18,Minor,Unknown,Closed,EQMS-2183875,2024-04-09
4082,12547,INV-0004082,2025-02-18,Minor,Specification,Closed,EQMS-5899911,2025-04-23
4083,87737,INV-0004083,2024-05-06,Major,Analytical Method,Closed,EQMS-1838948,2024-06-13
4084,68790,INV-0004084,2025-05-12,Minor,Specification,In Progress,EQMS-3245859,
4085,9968,INV-0004085,2024-09-28,Minor,Operator,Closed,EQMS-3270942,2024-11-07
4086,112070,INV-0004086,2025-07-18,Minor,Equipment,Closed,EQMS-2835782,2025-09-20
4087,77646,INV-0004087,2025-05-20,Minor,Equipment,Closed,EQMS-3696680,2025-06-16
4088,61835,INV-0004088,2024-12-12,Major,Operator,Closed,EQMS-8992663,2025-01-22
4089,82931,INV-0004089,2024-12-26,Minor,Operator,Closed,EQMS-7620776,2025-02-28
4090,115552,INV-0004090,2026-01-06,Minor,Unknown,Closed,EQMS-9772613,2026-02-19
4091,103088,INV-0004091,2024-09-03,Major,Equipment,Closed,EQMS-2195411,2024-09-18
4092,68777,INV-0004092,2025-01-19,Minor,Supplier,Open,EQMS-0040758,
4093,82858,INV-0004093,2025-11-17,Major,Analytical Method,Closed,EQMS-8973268,2026-01-30
4094,11280,INV-0004094,2026-02-19,Major,Equipment,Closed,EQMS-1565401,2026-05-03
4095,26115,INV-0004095,2025-05-12,Minor,Analytical Method,Closed,EQMS-4201185,2025-07-17
4096,12597,INV-0004096,2024-03-21,Minor,Analytical Method,Closed,EQMS-8087427,2024-06-16
4097,64901,INV-0004097,2024-02-05,Major,Operator,Closed,EQMS-0369555,2024-04-01
4098,25398,INV-0004098,2025-09-23,Minor,Unknown,Open,EQMS-5837980,
4099,64472,INV-0004099,2026-01-21,Minor,Equipment,Closed,EQMS-1515593,2026-02-01
4100,62891,INV-0004100,2025-04-17,Minor,Supplier,In Progress,EQMS-7518461,
4101,68136,INV-0004101,2024-07-15,Major,Analytical Method,Closed,EQMS-3688590,2024-08-20
4102,106336,INV-0004102,2025-07-02,Minor,Sample Handling,Closed,EQMS-5596670,2025-07-31
4103,106500,INV-0004103,2024-08-27,Minor,Specification,Closed,EQMS-8424933,2024-10-17
4104,115120,INV-0004104,2024-10-19,Major,Specification,Closed,EQMS-0566223,2024-12-18
4105,92272,INV-0004105,2024-04-22,Major,Equipment,Closed,EQMS-4545115,2024-07-09
4106,109054,INV-0004106,2026-01-17,Minor,Unknown,Closed,EQMS-2395165,2026-04-16
4107,111539,INV-0004107,2025-05-27,Critical,Sample Handling,In Progress,EQMS-3185254,
4108,88227,INV-0004108,2026-03-26,Minor,Supplier,In Progress,EQMS-3482455,
4109,29426,INV-0004109,2025-03-03,Minor,Sample Handling,In Progress,EQMS-6493516,
4110,33326,INV-0004110,2024-06-19,Critical,Equipment,Closed,EQMS-3403960,2024-08-03
4111,112795,INV-0004111,2024-05-05,Major,Supplier,Closed,EQMS-8637663,2024-06-30
4112,118361,INV-0004112,2026-03-21,Critical,Equipment,Closed,EQMS-6200675,2026-04-14
4113,9074,INV-0004113,2025-10-21,Major,Supplier,Closed,EQMS-9869525,2025-11-17
4114,77310,INV-0004114,2024-11-19,Minor,Unknown,Open,EQMS-7606340,
4115,7990,INV-0004115,2026-02-16,Major,Equipment,In Progress,EQMS-5748961,
4116,109138,INV-0004116,2025-03-09,Major,Supplier,In Progress,EQMS-7955705,
4117,40232,INV-0004117,2024-04-24,Minor,Specification,Closed,EQMS-7877277,2024-05-02
