capa_id,investigation_id,capa_number,action_type,owner_function,due_date,status,effectiveness
1072,7459,CAPA-001072,Corrective and Preventive,Quality,2025-07-13,Open,Effective
1073,8895,CAPA-001073,Preventive,Manufacturing,2026-10-11,Open,Monitoring
1074,1593,CAPA-001074,Corrective,MSAT,2026-04-16,Open,Effective
1075,3053,CAPA-001075,Corrective,Quality,2024-12-12,Open,Effective
1076,11109,CAPA-001076,Corrective and Preventive,Supplier Quality,2026-04-25,Closed,Not Assessed
1077,3529,CAPA-001077,Corrective,Manufacturing,2024-11-13,Closed,Ineffective
1078,8286,CAPA-001078,Corrective,Supplier Quality,2026-08-11,Open,Effective
1079,1145,CAPA-001079,Corrective,MSAT,2026-06-27,Monitoring,Effective
1080,11036,CAPA-001080,Corrective and Preventive,Laboratory,2026-04-01,Monitoring,Effective
1081,4632,CAPA-001081,Preventive,Manufacturing,2024-11-05,Open,Effective
1082,4630,CAPA-001082,Preventive,Laboratory,2026-02-09,Closed,Ineffective
1083,9981,CAPA-001083,Corrective,MSAT,2024-06-15,Open,Effective
1084,757,CAPA-001084,Corrective,Laboratory,2026-08-24,Closed,Effective
1085,2667,CAPA-001085,Corrective,Supplier Quality,2025-09-14,Closed,Not Assessed
1086,10988,CAPA-001086,Corrective,Manufacturing,2024-08-05,Closed,Effective
1087,848,CAPA-001087,Corrective,Laboratory,2025-04-29,Closed,Monitoring
1088,741,CAPA-001088,Corrective,Manufacturing,2024-12-23,Open,Monitoring
1089,1774,CAPA-001089,Corrective and Preventive,Supplier Quality,2024-08-10,Monitoring,Effective
1090,3490,CAPA-001090,Corrective,Quality,2025-05-14,Monitoring,Not Assessed
1091,6574,CAPA-001091,Corrective,Laboratory,2026-10-27,Closed,Effective
1092,26,CAPA-001092,Corrective,MSAT,2026-01-24,Closed,Effective
1093,3233,CAPA-001093,Corrective,Manufacturing,2025-10-27,Closed,Effective
1094,4175,CAPA-001094,Corrective and Preventive,Laboratory,2026-08-18,Open,Not Assessed
1095,4355,CAPA-001095,Corrective and Preventive,Manufacturing,2025-04-09,Closed,Effective
1096,2436,CAPA-001096,Corrective,Laboratory,2024-09-09,Closed,Ineffective
1097,7319,CAPA-001097,Corrective,Laboratory,2024-06-19,Closed,Monitoring
1098,10209,CAPA-001098,Preventive,MSAT,2025-01-13,Closed,Effective
1099,8900,CAPA-001099,Preventive,Manufacturing,2026-01-09,Closed,Monitoring
1100,3644,CAPA-001100,Preventive,Manufacturing,2025-06-24,Open,Effective
1101,9498,CAPA-001101,Preventive,Manufacturing,2026-11-05,Open,Effective
1102,1446,CAPA-001102,Preventive,Laboratory,2026-07-10,Open,Monitoring
1103,1872,CAPA-001103,Corrective,Supplier Quality,2025-10-16,Closed,Effective
1104,4829,CAPA-001104,Corrective and Preventive,Laboratory,2026-03-26,Closed,Effective
1105,4746,CAPA-001105,Preventive,Manufacturing,2024-11-10,Monitoring,Not Assessed
1106,247,CAPA-001106,Corrective and Preventive,Quality,2025-06-21,Closed,Effective
1107,3946,CAPA-001107,Preventive,Supplier Quality,2025-02-06,Closed,Not Assessed
1108,6812,CAPA-001108,Corrective and Preventive,Laboratory,2025-07-17,Monitoring,Effective
1109,11772,CAPA-001109,Corrective,Supplier Quality,2024-07-08,Closed,Effective
1110,1890,CAPA-001110,Corrective and Preventive,Supplier Quality,2026-08-30,Monitoring,Ineffective
1111,5818,CAPA-001111,Corrective,Laboratory,2025-12-26,Closed,Not Assessed
1112,7386,CAPA-001112,Preventive,Quality,2024-10-16,Closed,Effective
1113,4005,CAPA-001113,Corrective and Preventive,Manufacturing,2026-03-20,Closed,Effective
1114,6051,CAPA-001114,Preventive,Supplier Quality,2024-06-13,Open,Effective
1115,6492,CAPA-001115,Corrective and Preventive,Quality,2024-11-02,Closed,Ineffective
1116,4318,CAPA-001116,Corrective and Preventive,Manufacturing,2025-12-27,Monitoring,Not Assessed
1117,5600,CAPA-001117,Preventive,Laboratory,2025-12-04,Monitoring,Effective
1118,2520,CAPA-001118,Corrective,Manufacturing,2024-10-13,Open,Monitoring
1119,2312,CAPA-001119,Preventive,Manufacturing,2026-09-08,Closed,Effective
1120,7204,CAPA-001120,Preventive,Supplier Quality,2025-05-30,Closed,Monitoring
1121,9793,CAPA-001121,Corrective and Preventive,Supplier Quality,2024-12-19,Closed,Effective
1122,11951,CAPA-001122,Corrective,Quality,2026-08-23,Monitoring,Effective
1123,153,CAPA-001123,Corrective and Preventive,Manufacturing,2025-08-15,Closed,Effective
1124,11676,CAPA-001124,Preventive,Manufacturing,2024-09-10,Monitoring,Not Assessed
1125,10070,CAPA-001125,Corrective and Preventive,Manufacturing,2025-09-14,Closed,Effective
1126,9134,CAPA-001126,Corrective and Preventive,Laboratory,2026-07-11,Closed,Effective
1127,4767,CAPA-001127,Corrective,MSAT,2025-12-02,Closed,Effective
1128,1209,CAPA-001128,Corrective and Preventive,Quality,2024-11-30,Monitoring,Monitoring
1129,1808,CAPA-001129,Preventive,Supplier Quality,2026-02-16,Closed,Effective
1130,275,CAPA-001130,Corrective,Laboratory,2026-02-20,Monitoring,Effective
1131,5773,CAPA-001131,Corrective and Preventive,Supplier Quality,2025-04-05,Closed,Effective
1132,11436,CAPA-001132,Corrective and Preventive,Laboratory,2025-05-19,Closed,Effective
1133,1216,CAPA-001133,Corrective and Preventive,Quality,2024-09-12,Closed,Ineffective
1134,2945,CAPA-001134,Preventive,Quality,2026-02-14,Closed,Ineffective
1135,10851,CAPA-001135,Corrective,MSAT,2024-12-02,Closed,Monitoring
1136,1355,CAPA-001136,Corrective,Supplier Quality,2024-07-10,Monitoring,Effective
1137,4987,CAPA-001137,Corrective,MSAT,2026-07-30,Closed,Effective
1138,1933,CAPA-001138,Corrective,Quality,2025-05-25,Open,Monitoring
1139,11108,CAPA-001139,Corrective and Preventive,MSAT,2026-10-28,Closed,Effective
1140,312,CAPA-001140,Corrective,MSAT,2026-11-09,Closed,Monitoring
1141,1018,CAPA-001141,Corrective,Laboratory,2026-09-19,Closed,Effective
1142,7822,CAPA-001142,Corrective,Laboratory,2026-01-30,Closed,Monitoring
1143,3963,CAPA-001143,Corrective and Preventive,Quality,2025-07-14,Closed,Effective
1144,7787,CAPA-001144,Preventive,Quality,2026-04-17,Closed,Effective
1145,4458,CAPA-001145,Corrective and Preventive,Quality,2024-10-13,Closed,Effective
1146,10401,CAPA-001146,Corrective and Preventive,Supplier Quality,2025-07-09,Closed,Monitoring
1147,2541,CAPA-001147,Corrective and Preventive,Laboratory,2025-07-13,Closed,Effective
1148,5550,CAPA-001148,Preventive,Laboratory,2024-12-12,Monitoring,Effective
1149,2212,CAPA-001149,Corrective and Preventive,Supplier Quality,2026-03-03,Closed,Not Assessed
1150,8308,CAPA-001150,Corrective and Preventive,MSAT,2025-12-29,Closed,Not Assessed
1151,632,CAPA-001151,Corrective,Supplier Quality,2025-05-14,Open,Effective
1152,5712,CAPA-001152,Preventive,Quality,2024-12-16,Closed,Effective
1153,10580,CAPA-001153,Preventive,MSAT,2026-08-21,Open,Ineffective
1154,5292,CAPA-001154,Preventive,Manufacturing,2026-05-16,Closed,Monitoring
1155,1583,CAPA-001155,Preventive,Supplier Quality,2024-07-29,Closed,Effective
1156,9094,CAPA-001156,Corrective and Preventive,Supplier Quality,2026-04-27,Closed,Effective
1157,4498,CAPA-001157,Preventive,Laboratory,2026-01-18,Closed,Effective
1158,3162,CAPA-001158,Corrective,Laboratory,2025-08-11,Closed,Effective
1159,7372,CAPA-001159,Corrective and Preventive,Quality,2025-01-25,Open,Effective
1160,2005,CAPA-001160,Corrective and Preventive,Laboratory,2024-09-20,Open,Not Assessed
1161,1627,CAPA-001161,Corrective and Preventive,MSAT,2025-12-25,Closed,Effective
1162,5548,CAPA-001162,Corrective and Preventive,MSAT,2024-07-10,Closed,Monitoring
1163,9270,CAPA-001163,Corrective,Manufacturing,2024-06-10,Closed,Not Assessed
1164,3812,CAPA-001164,Corrective,Manufacturing,2024-10-21,Closed,Ineffective
1165,2998,CAPA-001165,Preventive,Manufacturing,2024-12-20,Closed,Effective
1166,6369,CAPA-001166,Corrective and Preventive,Quality,2025-08-01,Closed,Ineffective
1167,10123,CAPA-001167,Corrective and Preventive,Supplier Quality,2026-11-10,Closed,Monitoring
1168,5716,CAPA-001168,Corrective,Manufacturing,2025-07-16,Closed,Ineffective
1169,791,CAPA-001169,Corrective and Preventive,MSAT,2026-05-18,Closed,Ineffective
1170,4345,CAPA-001170,Preventive,Supplier Quality,2025-11-29,Open,Monitoring
1171,2338,CAPA-001171,Preventive,Manufacturing,2026-11-07,Monitoring,Effective
1172,10592,CAPA-001172,Preventive,Manufacturing,2026-05-07,Closed,Monitoring
1173,11660,CAPA-001173,Corrective,MSAT,2024-10-25,Closed,Effective
1174,5523,CAPA-001174,Corrective and Preventive,Laboratory,2025-09-17,Closed,Effective
1175,3502,CAPA-001175,Corrective and Preventive,Supplier Quality,2025-11-24,Open,Effective
1176,3075,CAPA-001176,Corrective and Preventive,Manufacturing,2026-06-16,Closed,Effective
1177,9263,CAPA-001177,Corrective and Preventive,Supplier Quality,2025-12-15,Closed,Not Assessed
1178,10000,CAPA-001178,Corrective and Preventive,Manufacturing,2024-07-18,Open,Effective
1179,9585,CAPA-001179,Preventive,MSAT,2024-11-14,Monitoring,Effective
1180,9550,CAPA-001180,Preventive,Supplier Quality,2025-08-17,Monitoring,Ineffective
1181,9177,CAPA-001181,Corrective and Preventive,MSAT,2025-12-25,Closed,Effective
1182,293,CAPA-001182,Corrective and Preventive,Laboratory,2026-03-25,Monitoring,Effective
1183,2284,CAPA-001183,Corrective,Quality,2025-02-16,Closed,Effective
1184,9918,CAPA-001184,Corrective and Preventive,MSAT,2026-01-05,Closed,Effective
1185,4838,CAPA-001185,Corrective and Preventive,MSAT,2025-10-02,Closed,Monitoring
1186,267,CAPA-001186,Corrective and Preventive,Quality,2025-05-23,Monitoring,Effective
1187,384,CAPA-001187,Corrective and Preventive,Supplier Quality,2025-03-17,Closed,Monitoring
1188,3490,CAPA-001188,Corrective and Preventive,Manufacturing,2024-12-05,Monitoring,Effective
1189,220,CAPA-001189,Preventive,Manufacturing,2025-10-19,Open,Effective
1190,908,CAPA-001190,Preventive,MSAT,2024-12-14,Monitoring,Monitoring
1191,390,CAPA-001191,Preventive,Supplier Quality,2024-09-04,Closed,Effective
1192,7480,CAPA-001192,Preventive,Quality,2026-03-14,Open,Ineffective
1193,2435,CAPA-001193,Corrective and Preventive,Supplier Quality,2025-05-04,Monitoring,Monitoring
1194,6722,CAPA-001194,Corrective,Supplier Quality,2026-08-26,Closed,Effective
1195,7663,CAPA-001195,Corrective and Preventive,Manufacturing,2026-08-21,Closed,Effective
1196,5274,CAPA-001196,Preventive,Supplier Quality,2024-08-14,Closed,Not Assessed
1197,3813,CAPA-001197,Preventive,Supplier Quality,2026-03-19,Closed,Effective
1198,11351,CAPA-001198,Corrective,Supplier Quality,2026-06-19,Closed,Not Assessed
1199,7959,CAPA-001199,Corrective and Preventive,Laboratory,2025-01-05,Monitoring,Monitoring
1200,1207,CAPA-001200,Corrective and Preventive,Quality,2026-10-16,Closed,Effective
1201,6601,CAPA-001201,Corrective,MSAT,2025-04-25,Open,Monitoring
1202,7653,CAPA-001202,Preventive,Supplier Quality,2026-05-04,Open,Effective
1203,5852,CAPA-001203,Corrective,MSAT,2025-03-24,Monitoring,Monitoring
1204,6344,CAPA-001204,Corrective,Manufacturing,2026-09-17,Closed,Monitoring
1205,9191,CAPA-001205,Preventive,Manufacturing,2025-12-14,Monitoring,Effective
1206,1266,CAPA-001206,Corrective and Preventive,MSAT,2025-09-07,Closed,Monitoring
1207,8876,CAPA-001207,Corrective,Manufacturing,2024-12-24,Closed,Effective
1208,2395,CAPA-001208,Corrective,MSAT,2026-01-26,Closed,Effective
1209,5233,CAPA-001209,Corrective,Supplier Quality,2024-09-24,Open,Not Assessed
1210,11960,CAPA-001210,Corrective,Manufacturing,2026-11-02,Open,Ineffective
1211,11475,CAPA-001211,Corrective and Preventive,Manufacturing,2026-03-24,Monitoring,Not Assessed
1212,164,CAPA-001212,Corrective,Manufacturing,2024-10-10,Closed,Effective
1213,10503,CAPA-001213,Corrective and Preventive,Laboratory,2025-08-07,Closed,Effective
1214,10535,CAPA-001214,Preventive,Supplier Quality,2026-03-15,Closed,Monitoring
1215,817,CAPA-001215,Corrective,Manufacturing,2026-02-24,Closed,Effective
1216,8342,CAPA-001216,Preventive,Supplier Quality,2025-12-18,Closed,Effective
1217,8791,CAPA-001217,Corrective,MSAT,2025-05-14,Closed,Effective
1218,2356,CAPA-001218,Corrective and Preventive,Supplier Quality,2025-02-10,Closed,Monitoring
1219,360,CAPA-001219,Corrective,Supplier Quality,2024-08-19,Closed,Monitoring
1220,8134,CAPA-001220,Corrective and Preventive,MSAT,2025-09-04,Closed,Not Assessed
1221,6918,CAPA-001221,Corrective,Quality,2025-06-07,Monitoring,Effective
1222,7482,CAPA-001222,Corrective and Preventive,Laboratory,2024-09-01,Closed,Effective
1223,3674,CAPA-001223,Preventive,Laboratory,2024-11-19,Open,Effective
1224,11947,CAPA-001224,Corrective and Preventive,Laboratory,2025-12-26,Closed,Ineffective
1225,3698,CAPA-001225,Corrective and Preventive,Laboratory,2026-04-16,Closed,Effective
1226,4112,CAPA-001226,Preventive,MSAT,2025-12-14,Open,Effective
1227,6340,CAPA-001227,Corrective and Preventive,Supplier Quality,2025-04-14,Closed,Effective
1228,242,CAPA-001228,Corrective,Manufacturing,2026-10-09,Closed,Effective
1229,9559,CAPA-001229,Preventive,MSAT,2026-10-13,Closed,Effective
1230,9654,CAPA-001230,Corrective,Manufacturing,2026-10-19,Closed,Effective
1231,2152,CAPA-001231,Corrective,Laboratory,2024-12-08,Closed,Monitoring
1232,2765,CAPA-001232,Preventive,Supplier Quality,2026-06-05,Closed,Effective
1233,5802,CAPA-001233,Preventive,Manufacturing,2024-08-10,Closed,Effective
1234,269,CAPA-001234,Corrective and Preventive,Laboratory,2025-02-06,Closed,Effective
1235,8234,CAPA-001235,Corrective,Quality,2025-05-03,Closed,Monitoring
1236,604,CAPA-001236,Preventive,Laboratory,2026-05-21,Closed,Effective
1237,10303,CAPA-001237,Corrective and Preventive,Manufacturing,2025-12-21,Closed,Effective
1238,9391,CAPA-001238,Corrective and Preventive,Manufacturing,2024-06-27,Closed,Effective
1239,9338,CAPA-001239,Corrective,Quality,2026-02-06,Open,Effective
1240,11162,CAPA-001240,Preventive,Quality,2025-08-27,Closed,Effective
1241,8460,CAPA-001241,Corrective and Preventive,Supplier Quality,2026-10-30,Closed,Effective
1242,3421,CAPA-001242,Preventive,Quality,2025-04-11,Closed,Effective
1243,400,CAPA-001243,Preventive,Quality,2025-04-26,Closed,Effective
1244,10477,CAPA-001244,Preventive,Supplier Quality,2025-09-26,Monitoring,Effective
1245,6278,CAPA-001245,Corrective,Manufacturing,2024-06-02,Open,Not Assessed
1246,1627,CAPA-001246,Corrective and Preventive,Laboratory,2024-06-12,Open,Not Assessed
1247,11921,CAPA-001247,Corrective,Supplier Quality,2026-04-21,Closed,Effective
1248,8,CAPA-001248,Corrective and Preventive,Quality,2025-03-08,Monitoring,Effective
1249,3910,CAPA-001249,Corrective,Laboratory,2026-08-26,Open,Effective
1250,5239,CAPA-001250,Corrective and Preventive,Quality,2024-10-20,Open,Effective
1251,4863,CAPA-001251,Preventive,Laboratory,2025-09-17,Closed,Effective
1252,7776,CAPA-001252,Preventive,Supplier Quality,2025-09-29,Closed,Effective
1253,2549,CAPA-001253,Preventive,Quality,2024-12-06,Closed,Effective
1254,8999,CAPA-001254,Corrective,Manufacturing,2025-11-22,Monitoring,Monitoring
1255,11962,CAPA-001255,Corrective and Preventive,Supplier Quality,2024-12-29,Monitoring,Monitoring
1256,6789,CAPA-001256,Corrective,Quality,2024-12-13,Closed,Effective
1257,214,CAPA-001257,Preventive,Quality,2024-09-21,Closed,Monitoring
1258,11657,CAPA-001258,Preventive,Supplier Quality,2024-12-31,Closed,Monitoring
1259,11965,CAPA-001259,Preventive,Manufacturing,2024-09-10,Closed,Effective
1260,1725,CAPA-001260,Preventive,Laboratory,2026-03-01,Closed,Effective
1261,2815,CAPA-001261,Preventive,Laboratory,2024-10-24,Closed,Monitoring
1262,1166,CAPA-001262,Corrective and Preventive,Quality,2026-04-14,Closed,Effective
1263,5499,CAPA-001263,Preventive,Laboratory,2024-08-15,Open,Effective
1264,4629,CAPA-001264,Corrective,Manufacturing,2025-08-02,Closed,Effective
1265,6854,CAPA-001265,Corrective and Preventive,Quality,2026-03-17,Closed,Not Assessed
1266,9845,CAPA-001266,Corrective,Laboratory,2024-10-30,Monitoring,Not Assessed
1267,3604,CAPA-001267,Corrective and Preventive,Supplier Quality,2026-08-28,Closed,Effective
1268,11900,CAPA-001268,Corrective and Preventive,Supplier Quality,2026-05-23,Closed,Monitoring
1269,5379,CAPA-001269,Corrective and Preventive,Quality,2026-04-12,Closed,Effective
1270,8088,CAPA-001270,Corrective and Preventive,Quality,2025-12-20,Closed,Monitoring
1271,9228,CAPA-001271,Preventive,Quality,2025-02-14,Closed,Ineffective
1272,3419,CAPA-001272,Corrective,Supplier Quality,2026-04-25,Monitoring,Not Assessed
1273,5964,CAPA-001273,Preventive,Quality,2025-06-20,Closed,Effective
1274,3907,CAPA-001274,Corrective and Preventive,Laboratory,2024-08-10,Closed,Effective
1275,1603,CAPA-001275,Corrective,MSAT,2026-08-24,Open,Ineffective
1276,2850,CAPA-001276,Corrective and Preventive,Supplier Quality,2026-03-09,Closed,Ineffective
1277,7776,CAPA-001277,Preventive,Quality,2024-07-21,Closed,Effective
1278,3795,CAPA-001278,Corrective and Preventive,Manufacturing,2026-05-19,Closed,Effective
1279,4274,CAPA-001279,Corrective,Manufacturing,2026-11-12,Closed,Effective
1280,3799,CAPA-001280,Corrective,Quality,2026-01-20,Closed,Effective
1281,8372,CAPA-001281,Corrective and Preventive,Supplier Quality,2025-06-12,Closed,Effective
1282,5712,CAPA-001282,Corrective and Preventive,Supplier Quality,2025-03-26,Closed,Effective
1283,8692,CAPA-001283,Corrective and Preventive,Manufacturing,2025-05-02,Closed,Ineffective
1284,7557,CAPA-001284,Preventive,Laboratory,2025-04-27,Closed,Effective
1285,9246,CAPA-001285,Preventive,Laboratory,2026-06-12,Closed,Effective
1286,9431,CAPA-001286,Preventive,Quality,2025-05-21,Closed,Ineffective
1287,3976,CAPA-001287,Corrective and Preventive,Laboratory,2025-10-24,Closed,Ineffective
1288,2409,CAPA-001288,Corrective and Preventive,Laboratory,2025-06-28,Closed,Effective
1289,37,CAPA-001289,Preventive,Supplier Quality,2024-08-05,Open,Not Assessed
1290,9334,CAPA-001290,Preventive,Supplier Quality,2025-01-27,Closed,Effective
1291,10778,CAPA-001291,Preventive,Manufacturing,2026-01-05,Closed,Effective
1292,7274,CAPA-001292,Preventive,Laboratory,2025-08-05,Closed,Not Assessed
1293,5832,CAPA-001293,Corrective and Preventive,Laboratory,2026-07-10,Closed,Monitoring
1294,680,CAPA-001294,Corrective,MSAT,2026-02-13,Monitoring,Not Assessed
1295,5906,CAPA-001295,Corrective and Preventive,Supplier Quality,2025-03-14,Closed,Not Assessed
1296,2963,CAPA-001296,Corrective,Supplier Quality,2026-05-15,Open,Effective
1297,8965,CAPA-001297,Corrective,Laboratory,2026-05-04,Closed,Not Assessed
1298,7396,CAPA-001298,Corrective,Quality,2024-09-22,Closed,Not Assessed
1299,9822,CAPA-001299,Corrective,MSAT,2026-01-11,Open,Effective
1300,10242,CAPA-001300,Corrective and Preventive,Manufacturing,2025-11-06,Closed,Monitoring
1301,4690,CAPA-001301,Preventive,MSAT,2024-08-03,Closed,Not Assessed
1302,9077,CAPA-001302,Corrective and Preventive,Supplier Quality,2025-08-10,Open,Effective
1303,130,CAPA-001303,Preventive,Manufacturing,2026-04-12,Monitoring,Effective
1304,11104,CAPA-001304,Corrective and Preventive,Supplier Quality,2024-12-18,Closed,Monitoring
1305,11762,CAPA-001305,Corrective,Laboratory,2026-09-02,Closed,Effective
1306,3560,CAPA-001306,Corrective and Preventive,Manufacturing,2026-01-09,Closed,Effective
1307,10636,CAPA-001307,Preventive,Laboratory,2025-04-09,Monitoring,Monitoring
1308,11927,CAPA-001308,Corrective,Supplier Quality,2024-09-17,Closed,Effective
1309,579,CAPA-001309,Corrective and Preventive,Quality,2026-03-10,Closed,Monitoring
1310,7768,CAPA-001310,Corrective,Quality,2024-12-08,Closed,Monitoring
1311,9432,CAPA-001311,Corrective and Preventive,Laboratory,2026-01-19,Open,Not Assessed
1312,392,CAPA-001312,Corrective,Supplier Quality,2025-01-25,Closed,Not Assessed
1313,9169,CAPA-001313,Corrective,Supplier Quality,2025-01-17,Closed,Not Assessed
1314,10441,CAPA-001314,Preventive,Quality,2025-12-14,Closed,Effective
1315,9755,CAPA-001315,Corrective,Laboratory,2024-12-26,Monitoring,Ineffective
1316,10781,CAPA-001316,Corrective and Preventive,Laboratory,2025-09-27,Closed,Effective
1317,8171,CAPA-001317,Corrective and Preventive,Laboratory,2025-08-03,Closed,Effective
1318,2708,CAPA-001318,Preventive,Supplier Quality,2026-11-04,Closed,Not Assessed
1319,2268,CAPA-001319,Corrective and Preventive,Laboratory,2025-05-07,Closed,Effective
1320,3368,CAPA-001320,Preventive,MSAT,2026-03-25,Closed,Monitoring
1321,7004,CAPA-001321,Corrective,Supplier Quality,2025-05-16,Closed,Effective
1322,10592,CAPA-001322,Corrective,Quality,2025-12-10,Closed,Effective
1323,11527,CAPA-001323,Preventive,MSAT,2025-12-09,Closed,Effective
1324,5469,CAPA-001324,Corrective,MSAT,2026-03-24,Closed,Monitoring
1325,9234,CAPA-001325,Preventive,Laboratory,2024-10-10,Monitoring,Effective
1326,6491,CAPA-001326,Corrective,MSAT,2024-08-06,Closed,Ineffective
1327,5491,CAPA-001327,Corrective and Preventive,Laboratory,2026-04-03,Closed,Effective
1328,9236,CAPA-001328,Corrective and Preventive,Laboratory,2025-11-24,Open,Not Assessed
1329,8806,CAPA-001329,Preventive,Quality,2026-10-31,Closed,Effective
1330,2449,CAPA-001330,Preventive,Quality,2024-12-12,Closed,Not Assessed
1331,11212,CAPA-001331,Preventive,Manufacturing,2025-11-07,Monitoring,Not Assessed
1332,11485,CAPA-001332,Corrective and Preventive,Supplier Quality,2025-12-23,Open,Effective
1333,11311,CAPA-001333,Corrective,MSAT,2025-01-05,Closed,Not Assessed
1334,4898,CAPA-001334,Preventive,Supplier Quality,2025-04-14,Closed,Not Assessed
1335,5251,CAPA-001335,Corrective and Preventive,Quality,2024-06-10,Closed,Effective
1336,2562,CAPA-001336,Preventive,MSAT,2025-01-11,Monitoring,Effective
1337,2537,CAPA-001337,Corrective,Manufacturing,2025-10-29,Open,Effective
1338,4420,CAPA-001338,Corrective and Preventive,MSAT,2025-02-26,Monitoring,Effective
1339,996,CAPA-001339,Preventive,Laboratory,2025-01-25,Monitoring,Not Assessed
1340,2721,CAPA-001340,Corrective,Laboratory,2026-10-23,Monitoring,Not Assessed
1341,11089,CAPA-001341,Preventive,Supplier Quality,2024-07-19,Closed,Ineffective
1342,9363,CAPA-001342,Corrective,Supplier Quality,2026-03-30,Closed,Monitoring
1343,2455,CAPA-001343,Corrective and Preventive,MSAT,2025-01-21,Monitoring,Monitoring
1344,8708,CAPA-001344,Corrective and Preventive,Laboratory,2026-11-09,Closed,Effective
1345,10190,CAPA-001345,Preventive,MSAT,2026-08-05,Closed,Effective
1346,11761,CAPA-001346,Corrective and Preventive,Quality,2025-07-22,Closed,Effective
1347,8485,CAPA-001347,Preventive,Manufacturing,2025-03-08,Closed,Monitoring
1348,7609,CAPA-001348,Corrective and Preventive,Laboratory,2024-07-14,Closed,Not Assessed
1349,9973,CAPA-001349,Preventive,Quality,2026-09-11,Closed,Effective
1350,1524,CAPA-001350,Preventive,Supplier Quality,2024-10-02,Closed,Effective
1351,7910,CAPA-001351,Preventive,Laboratory,2024-12-29,Monitoring,Effective
1352,8599,CAPA-001352,Preventive,Quality,2025-09-10,Closed,Effective
1353,6724,CAPA-001353,Corrective and Preventive,Laboratory,2026-09-29,Closed,Not Assessed
1354,8722,CAPA-001354,Corrective,MSAT,2025-06-20,Monitoring,Monitoring
1355,299,CAPA-001355,Preventive,Supplier Quality,2026-11-01,Closed,Effective
1356,4375,CAPA-001356,Corrective,Quality,2025-03-02,Closed,Monitoring
1357,1319,CAPA-001357,Preventive,Supplier Quality,2024-07-18,Closed,Effective
1358,688,CAPA-001358,Corrective,MSAT,2025-10-29,Closed,Not Assessed
1359,1855,CAPA-001359,Preventive,Supplier Quality,2026-11-03,Closed,Effective
1360,6840,CAPA-001360,Corrective,Laboratory,2024-12-29,Closed,Effective
1361,1131,CAPA-001361,Corrective and Preventive,Laboratory,2025-10-23,Monitoring,Effective
1362,6671,CAPA-001362,Corrective,Supplier Quality,2024-11-19,Open,Effective
1363,263,CAPA-001363,Corrective and Preventive,Laboratory,2026-06-03,Closed,Monitoring
1364,3194,CAPA-001364,Corrective,Manufacturing,2025-06-08,Closed,Effective
1365,8667,CAPA-001365,Corrective and Preventive,MSAT,2025-01-29,Monitoring,Effective
1366,1354,CAPA-001366,Corrective,Quality,2025-06-01,Closed,Effective
1367,101,CAPA-001367,Corrective and Preventive,Manufacturing,2026-11-08,Closed,Not Assessed
1368,4668,CAPA-001368,Preventive,Supplier Quality,2025-11-11,Monitoring,Monitoring
1369,10327,CAPA-001369,Corrective and Preventive,MSAT,2024-08-30,Closed,Monitoring
1370,9589,CAPA-001370,Corrective and Preventive,Manufacturing,2026-08-22,Closed,Monitoring
1371,9157,CAPA-001371,Corrective and Preventive,Quality,2024-09-19,Open,Monitoring
1372,7865,CAPA-001372,Preventive,Laboratory,2025-08-23,Closed,Not Assessed
1373,11027,CAPA-001373,Corrective and Preventive,MSAT,2025-04-24,Closed,Effective
1374,9176,CAPA-001374,Corrective and Preventive,Manufacturing,2026-08-27,Monitoring,Effective
1375,1583,CAPA-001375,Preventive,MSAT,2025-02-13,Closed,Effective
1376,8532,CAPA-001376,Corrective,Laboratory,2025-12-22,Open,Effective
1377,2199,CAPA-001377,Preventive,Laboratory,2026-03-12,Monitoring,Effective
1378,9917,CAPA-001378,Corrective and Preventive,Manufacturing,2026-01-20,Closed,Effective
1379,2377,CAPA-001379,Preventive,Laboratory,2025-10-24,Closed,Not Assessed
1380,4888,CAPA-001380,Preventive,Manufacturing,2025-08-08,Monitoring,Ineffective
1381,10526,CAPA-001381,Corrective and Preventive,Manufacturing,2025-12-06,Closed,Effective
1382,8185,CAPA-001382,Corrective,Supplier Quality,2026-08-18,Open,Monitoring
1383,9677,CAPA-001383,Corrective and Preventive,Supplier Quality,2024-07-06,Closed,Monitoring
1384,4907,CAPA-001384,Corrective and Preventive,MSAT,2026-03-07,Closed,Effective
1385,10399,CAPA-001385,Corrective and Preventive,Supplier Quality,2025-11-16,Monitoring,Ineffective
1386,5212,CAPA-001386,Preventive,Manufacturing,2024-07-27,Closed,Monitoring
1387,9670,CAPA-001387,Corrective and Preventive,MSAT,2024-08-21,Closed,Monitoring
1388,3623,CAPA-001388,Corrective and Preventive,Quality,2026-07-12,Closed,Monitoring
1389,1913,CAPA-001389,Corrective,MSAT,2026-02-25,Monitoring,Not Assessed
1390,10871,CAPA-001390,Corrective,Manufacturing,2025-07-14,Closed,Effective
1391,10960,CAPA-001391,Corrective and Preventive,MSAT,2024-10-09,Open,Not Assessed
1392,9872,CAPA-001392,Corrective,Quality,2025-06-02,Monitoring,Ineffective
1393,379,CAPA-001393,Preventive,Manufacturing,2026-03-24,Closed,Effective
1394,873,CAPA-001394,Corrective and Preventive,Quality,2024-11-21,Open,Effective
